text,labels,label_text
"Afscme says In labor negotiations with city employees, Milwaukee Mayor Tom Barrett demanded concessions that went beyond those mandated by Gov. Scott Walkers collective bargaining law </s> a letter to members </s> <false statement 3.131746292114258> Tom Barrett says Gov. Scott Walker said no to equal pay for equal work for women. </s> a TV ad </s> <true statement 3.1800825595855713> Scott Walker says If public employees dont pay more for benefits starting April 1, 2011, the equivalent is 1,500 state employee layoffs by June 30, 2011 and 10,000 to 12,000 state and local government employee layoffs in the next two years. </s> a news conference",0,true statement
"Rick Scott says All Aboard Florida is a 100 percent private venture. There is no state money involved. </s> a TV interview </s> <true statement 3.0582425594329834> Charlie Crist says All Aboard Florida is receiving millions in Florida taxpayer dollars. </s> a fundraising email </s> <false statement 3.1522974967956543> Corey Lewandowski says Mr. Trump is self-financing his campaign, so we dont have any donors. </s> a radio interview.",0,true statement
"Julie Pace says The Obama administration is using as its legal justification for these airstrikes (on the Islamic State), an authorization for military force that the president himself has called for repeal of. </s> a question to White House Press Secretary Josh Earnest </s> <true statement 2.9627556800842285> Martha Raddatz says The Obama administration originally wanted 10,000 troops to remain in Iraq -- not combat troops, but military advisers, special operations forces, to watch the counterterrorism effort. </s> comments on ABC's ""This Week"" </s> <false statement 3.246009588241577> Rick Perry says Obama has chosen to deny the vicious anti-Semitic motivation of the attack on a kosher Jewish grocery in Paris. </s> a statement",0,true statement
"John Kasich says We are now eighth in the nation in job creation . . . we are No. 1 in the Midwest. </s> a news conference </s> <false statement 2.610369920730591> Ted Strickland says Gov. John Kasich incorrectly claimed Ohios economy was 38th in the nation when he took office. We were sixth in the nation in terms of economic job growth. </s> an interview on CNN </s> <true statement 3.028876543045044> Terry Mcauliffe says If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor. </s> a speech.",0,true statement
"Mike Pence says It was Hillary Clinton who left Americans in harms way in Benghazi and after four Americans fell said, What difference at this point does it make? </s> the Republican national convention </s> <true statement 2.5875017642974854> Hillary Clinton says When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, the Democrats didnt make that a partisan issue. </s> a CNN town hall </s> <false statement 2.9331557750701904> Facebook Posts says Hillary Clinton refuses to testify before Congress about the 2012 attack in Benghazi. </s> a meme on social media",0,true statement
"Rand Paul says Of the roughly 15 percent of Americans who dont have health insurance, half of them made more than $50,000 a year. </s> an interview on Comedy Central's ""The Daily Show"" </s> <true statement 2.932455062866211> Joe Biden says Among the money spent on health care in the United States, ""46 cents on every dollar spent is through Medicare and Medicaid."" </s> an interview on NBC's 'Meet the Press' </s> <false statement 3.02447247505188> Trent Franks says The top 1 percent pay over half of the entire revenue for this country. </s> an interview on MSNBC's 'The Dylan Ratigan Show'",1,false statement
"Barack Obama says Stimulus tax cuts ""began showing up in paychecks of 4.8 million Indiana households about three months ago."" </s> a speech in Wakarusa, Ind. </s> <false statement 2.8908281326293945> Paul Broun says Stimulus money funded a government board that made recommendations that would cost 378,000 jobs and $28.3 billion in sales. </s> a tweet </s> <true statement 2.9225375652313232> Sarah Palin says ""One state even spent a million bucks to put up signs that advertise that they were spending on the federal stimulus projects."" </s> an address at the Tea Party convention",1,false statement
"Allen West says If you look at the application for a security clearance, I have a clearance that even the president of the United States cannot obtain because of my background. </s> a candidate forum </s> <false statement 3.050549268722534> Ted Cruz says One of the most troubling aspects of the Rubio-Schumer Gang of Eight bill was that it gave President Obama blanket authority to admit refugees, including Syrian refugees, without mandating any background checks whatsoever. </s> a Republican presidential debate in Las Vegas </s> <true statement 3.196129560470581> David Shuster says Said former U.S. Ambassador to Kenya Scott Gration was forced to resign two years ago because of his personal use of emails. </s> a Hillary Clinton press conference",1,false statement
Bernie S says We now work the longest hours of any people around the world. </s> a C-SPAN interview </s> <true statement 3.08957576751709> Jim Sensenbrenner says We have the highest corporate tax rate in the world. Its 35 percent. </s> an interview </s> <false statement 3.3488667011260986> Mitt Romney says Today there are more men and women out of work in America than there are people working in Canada. </s> a speech to the Conservative Political Action Conference,1,false statement
"Sarah Palin says Donald Trumps conversion to pro-life beliefs are akin to Justin Biebers, who said in the past that abortion was no big deal to him. </s> an interview on CNN </s> <false statement 3.1018259525299072> Herman Cain says Said Planned Parenthoods early objective was to help kill black babies before they came into the world. </s> a talk at a conservative think tank </s> <true statement 3.1297004222869873> Greg Abbott says After Texas defunded Planned Parenthood, both the unintended pregnancy and abortion rates dropped. </s> a tweet",1,false statement
